               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  94,            0.011408,           0.0036408,           0.0014755,              0.9961,             0.99964,             0.99413,             0.95497,            0.005883,            0.001996,          0.00042201,            0.006931,            0.006931,            0.006931
                  95,            0.011408,            0.003673,           0.0015312,              0.9961,             0.99964,             0.99414,             0.95513,           0.0058707,           0.0019932,          0.00041966,            0.006898,            0.006898,            0.006898
                  96,            0.011379,           0.0036742,           0.0015669,             0.99608,             0.99966,             0.99416,             0.95539,           0.0058615,           0.0019921,          0.00041752,            0.006865,            0.006865,            0.006865
                  97,            0.011405,           0.0036916,           0.0015703,             0.99609,             0.99967,             0.99417,             0.95569,           0.0058515,            0.001989,          0.00041476,            0.006832,            0.006832,            0.006832
                  98,            0.011366,           0.0036072,           0.0015151,             0.99606,             0.99968,             0.99416,             0.95572,           0.0058402,           0.0019867,          0.00041204,            0.006799,            0.006799,            0.006799
                  99,            0.011252,           0.0037108,           0.0016168,             0.99601,              0.9998,             0.99415,             0.95577,           0.0058317,           0.0019844,          0.00040831,            0.006766,            0.006766,            0.006766
                 100,            0.011254,           0.0037257,           0.0015688,             0.99603,             0.99978,             0.99414,             0.95588,           0.0058228,           0.0019826,           0.0004059,            0.006733,            0.006733,            0.006733
                 101,            0.010996,           0.0035903,             0.00144,             0.99605,             0.99978,             0.99414,             0.95591,           0.0058134,           0.0019792,          0.00040375,              0.0067,              0.0067,              0.0067
                 102,            0.011222,           0.0036071,           0.0014932,             0.99608,             0.99975,             0.99414,             0.95598,           0.0058065,           0.0019767,          0.00040204,            0.006667,            0.006667,            0.006667
                 103,            0.011123,           0.0035909,            0.001496,             0.99609,             0.99974,             0.99415,             0.95609,           0.0058008,           0.0019751,          0.00040009,            0.006634,            0.006634,            0.006634
                 104,            0.011146,           0.0036719,           0.0015897,             0.99617,             0.99979,             0.99415,              0.9562,           0.0057945,            0.001973,          0.00039784,            0.006601,            0.006601,            0.006601
                 105,            0.011242,           0.0035947,           0.0015893,             0.99617,              0.9998,             0.99416,             0.95646,           0.0057885,            0.001971,          0.00039609,            0.006568,            0.006568,            0.006568
                 106,            0.011085,           0.0036122,           0.0014896,             0.99616,              0.9998,             0.99414,             0.95631,            0.005781,           0.0019693,          0.00039405,            0.006535,            0.006535,            0.006535
                 107,            0.010914,           0.0035435,           0.0014323,             0.99615,              0.9998,             0.99414,             0.95643,           0.0057751,           0.0019676,          0.00039179,            0.006502,            0.006502,            0.006502
                 108,             0.01103,           0.0035423,           0.0014049,             0.99615,             0.99982,             0.99414,             0.95657,           0.0057698,           0.0019663,          0.00039054,            0.006469,            0.006469,            0.006469
                 109,            0.011073,           0.0036179,           0.0013835,             0.99614,             0.99982,             0.99414,              0.9567,           0.0057636,           0.0019648,          0.00038886,            0.006436,            0.006436,            0.006436
                 110,            0.010914,           0.0035771,           0.0014155,             0.99613,             0.99981,             0.99414,             0.95659,           0.0057561,            0.001963,          0.00038715,            0.006403,            0.006403,            0.006403
                 111,            0.010996,            0.003589,           0.0013954,             0.99615,              0.9998,             0.99414,             0.95667,           0.0057521,           0.0019617,          0.00038537,             0.00637,             0.00637,             0.00637
                 112,            0.010971,           0.0036081,           0.0015007,             0.99615,              0.9998,             0.99416,             0.95691,           0.0057479,           0.0019603,          0.00038333,            0.006337,            0.006337,            0.006337
                 113,            0.010891,           0.0035141,            0.001361,             0.99607,              0.9998,             0.99416,             0.95682,           0.0057418,           0.0019589,          0.00038125,            0.006304,            0.006304,            0.006304
                 114,            0.010952,            0.003577,           0.0015359,             0.99612,             0.99979,             0.99416,             0.95708,           0.0057361,           0.0019575,          0.00037959,            0.006271,            0.006271,            0.006271
                 115,            0.010832,           0.0035012,           0.0013667,             0.99611,             0.99979,             0.99417,             0.95712,           0.0057312,           0.0019561,          0.00037754,            0.006238,            0.006238,            0.006238
                 116,            0.010777,           0.0035354,           0.0013575,             0.99612,             0.99979,             0.99416,              0.9573,           0.0057256,           0.0019547,          0.00037546,            0.006205,            0.006205,            0.006205
                 117,            0.010802,           0.0035552,           0.0012716,             0.99612,             0.99979,             0.99416,             0.95742,            0.005719,           0.0019527,          0.00037333,            0.006172,            0.006172,            0.006172
                 118,            0.010766,           0.0035017,           0.0014747,             0.99611,             0.99979,             0.99418,             0.95759,           0.0057131,           0.0019514,          0.00037153,            0.006139,            0.006139,            0.006139
                 119,            0.010756,           0.0035129,           0.0013629,             0.99611,             0.99979,             0.99417,             0.95747,           0.0057075,           0.0019498,          0.00036987,            0.006106,            0.006106,            0.006106
                 120,            0.010776,           0.0035381,             0.00142,             0.99604,             0.99973,             0.99418,             0.95746,           0.0057024,           0.0019485,          0.00036799,            0.006073,            0.006073,            0.006073
                 121,            0.010793,           0.0035603,           0.0014886,             0.99604,             0.99973,             0.99417,             0.95764,            0.005698,           0.0019474,          0.00036628,             0.00604,             0.00604,             0.00604
                 122,            0.010851,           0.0035529,           0.0015091,             0.99605,             0.99973,             0.99418,             0.95781,           0.0056933,           0.0019464,          0.00036452,            0.006007,            0.006007,            0.006007
                 123,            0.010743,           0.0035241,           0.0014679,             0.99601,             0.99973,             0.99417,             0.95788,           0.0056895,           0.0019445,          0.00036238,            0.005974,            0.005974,            0.005974
                 124,            0.010741,           0.0035034,           0.0013551,             0.99603,             0.99973,             0.99419,             0.95812,           0.0056845,           0.0019429,          0.00036024,            0.005941,            0.005941,            0.005941
                 125,            0.010648,           0.0035031,           0.0013361,             0.99608,             0.99973,             0.99419,             0.95828,           0.0056795,           0.0019413,          0.00035796,            0.005908,            0.005908,            0.005908
                 126,            0.010466,           0.0034411,           0.0012927,             0.99606,             0.99973,              0.9942,             0.95835,           0.0056754,           0.0019399,          0.00035592,            0.005875,            0.005875,            0.005875
                 127,            0.010469,            0.003414,           0.0011636,             0.99605,             0.99973,             0.99419,             0.95824,           0.0056702,           0.0019381,          0.00035422,            0.005842,            0.005842,            0.005842
                 128,            0.010529,           0.0034802,           0.0013812,             0.99605,             0.99973,              0.9942,             0.95843,           0.0056657,           0.0019366,          0.00035241,            0.005809,            0.005809,            0.005809
                 129,            0.010439,           0.0034278,           0.0013262,             0.99606,             0.99973,              0.9942,             0.95858,           0.0056601,           0.0019346,          0.00035068,            0.005776,            0.005776,            0.005776
                 130,            0.010459,           0.0034542,            0.001342,             0.99606,             0.99973,              0.9942,              0.9586,           0.0056551,           0.0019327,          0.00034894,            0.005743,            0.005743,            0.005743
                 131,            0.010576,           0.0034614,           0.0013512,             0.99606,             0.99972,             0.99419,             0.95855,           0.0056513,           0.0019311,          0.00034726,             0.00571,             0.00571,             0.00571
                 132,            0.010473,           0.0034402,           0.0012082,             0.99606,             0.99971,             0.99421,              0.9585,           0.0056468,           0.0019294,          0.00034564,            0.005677,            0.005677,            0.005677
                 133,            0.010395,           0.0034288,           0.0013408,             0.99608,              0.9997,              0.9942,             0.95854,           0.0056424,           0.0019277,          0.00034379,            0.005644,            0.005644,            0.005644
                 134,            0.010451,           0.0034009,           0.0013294,             0.99611,             0.99969,             0.99421,             0.95869,           0.0056384,           0.0019263,          0.00034219,            0.005611,            0.005611,            0.005611
                 135,            0.010375,           0.0034112,           0.0012225,             0.99613,             0.99969,             0.99421,             0.95854,           0.0056336,           0.0019249,           0.0003407,            0.005578,            0.005578,            0.005578
                 136,            0.010369,           0.0033943,           0.0012317,             0.99615,             0.99969,             0.99421,             0.95856,           0.0056294,           0.0019236,          0.00033884,            0.005545,            0.005545,            0.005545
                 137,            0.010375,           0.0034266,           0.0011772,             0.99617,             0.99969,             0.99421,             0.95883,           0.0056244,           0.0019221,          0.00033701,            0.005512,            0.005512,            0.005512
                 138,            0.010292,           0.0034456,           0.0011453,             0.99618,             0.99969,             0.99422,             0.95875,           0.0056206,            0.001921,          0.00033569,            0.005479,            0.005479,            0.005479
                 139,            0.010247,           0.0034359,           0.0012927,              0.9962,             0.99969,             0.99422,             0.95911,           0.0056161,           0.0019197,          0.00033405,            0.005446,            0.005446,            0.005446
                 140,             0.01022,           0.0033769,           0.0011693,             0.99621,             0.99969,             0.99422,             0.95899,           0.0056128,           0.0019184,          0.00033251,            0.005413,            0.005413,            0.005413
                 141,            0.010055,           0.0033551,           0.0011735,             0.99624,             0.99969,             0.99422,             0.95895,           0.0056085,           0.0019168,          0.00033113,             0.00538,             0.00538,             0.00538
                 142,            0.010054,           0.0033433,           0.0012385,             0.99626,             0.99969,             0.99422,             0.95887,           0.0056034,           0.0019151,          0.00032958,            0.005347,            0.005347,            0.005347
                 143,            0.010307,           0.0033763,           0.0013696,             0.99628,             0.99969,             0.99422,             0.95889,           0.0055981,           0.0019135,          0.00032805,            0.005314,            0.005314,            0.005314
